,product_type,hair_type,consistency,ingredient,preference,brand,styling_tool
,,,,,,Je Veux,
,,,,,,Jean Patou,
,,,,,,Jerome Russell,
,,,,,,JOC,
,,,,,,Joe Blasco,
,,,,,,Joico,
,,,,,,Kenzo,
,,,,,,Keratin Complex,
,,,,,,Kingsley,
,,,,,,Klorane,
,,,,,,KMS,
,,,,,,Komenuka Bijin,
,,,,,,L'Oreal,
,,,,,,LaLicious,
,,,,,,Layrite,
,,,,,,Lilique,
,,,,,,Lipsmart,
,,,,,,Mackie,
,,,,,,Mario Badescu,
,,,,,,Marvis,
,,,,,,Mary's Nutritionals,
,,,,,,Mason Pearson,
,,,,,,Matrix,
,,,,,,Mavala,
,,,,,,Mehaz,
,,,,,,Michel Germain Sexual,
,,,,,,MilkShake,
,,,,,,Mixed Chicks,
,,,,,,Model In A Bottle,
,,,,,,Murad,
,,,,,,Nailtiques,
,,,,,,Neuma,
,,,,,,Nioxin,
,,,,,,No Inhibition,
,,,,,,Nuxe,
,,,,,,Nyce Legs Spray,
,,,,,,Olioseta,
,,,,,,OPI,
,,,,,,Original Sprout,
,,,,,,Osis+,
,,,,,,Paul Scerri,
,,,,,,Peter Thomas Roth,
,,,,,,Philip B,
,,,,,,Phyto,
,,,,,,PMD,
,,,,,,Proraso,
,,,,,,Punky Colour By Jerome Russell,
,,,,,,Pure Fiji,
,,,,,,Pureology,
,,,,,,Redken,
,,,,,,RefectoCil,
,,,,,,Rene Furterer,
,,,,,,Rusk,
,,,,,,Satin Hair Color,
,,,,,,Schwarzkopf,
,,,,,,Sebastian,
,,,,,,SexyHair,
,,,,,,Solano,
,,,,,,Sphynx,
,,,,,,St. Tropez,
,,,,,,Style Edit,
,,,,,,Sudzz,
,,,,,,Sun,
,,,,,,Sun Bum,
,,,,,,Suntegrity,
,,,,,,Supersmile,
,,,,,,Tancho,
,,,,,,Tend Skin,
,,,,,,Tigi,
,,,,,,Tom Ford,
,,,,,,Touch Back,
,,,,,,Tron,
,,,,,,Tweezerman,
,,,,,,Uniq-One,
,,,,,,Vered Cosmetics,
,,,,,,Vita Liberata,
,,,,,,Voluspa,
,,,,,,Wavertree & London,
,,,,,,Wella,
,,,,,,Winky Lux,
,,,,,,X5,
,,,,,,Yon-Ka,
,,,,,,YoungBlood,
